episode,total_reward,step_count,success,success_rate,duration_s,epsilon,action_0_count,action_1_count,action_2_count,action_3_count,action_4_count,action_5_count,action_6_count,action_7_count,action_8_count,action_9_count,most_used_action,scenario,loss,q_mean,q_max
84,-247.3,22,0,0.3095,24.29,0.65635,0,3,1,2,1,4,0,6,5,0,radar_on,Escort1,251.878159,11.071323,33.273502
85,-326.7,23,0,0.3059,28.74,0.65307,2,1,3,7,3,1,2,1,2,1,attack_slot_0,Escort2,145.475922,12.429146,33.241493
86,-484.46,113,1,0.314,103.22,0.64981,4,4,12,24,11,7,8,17,20,6,attack_slot_0,LandStrike 1,169.96402,11.979005,33.429077
87,-402.3,108,1,0.3218,95.3,0.64656,6,6,11,14,3,6,12,27,16,7,radar_on,LandStrike 1,189.236877,11.820232,33.682259
88,-189.8,20,0,0.3182,31.47,0.64333,1,0,3,10,0,0,1,2,2,1,attack_slot_0,Escort2,191.386902,11.739086,33.416454
89,-526.08,118,1,0.3258,99.86,0.64011,7,8,12,20,10,7,10,19,19,6,attack_slot_0,LandStrike 1,179.970734,12.346438,34.29557
90,-1048.42,237,1,0.3333,205.04,0.63691,14,20,16,49,17,15,12,33,38,23,attack_slot_0,LandStrike 1,173.129486,12.433153,34.247738
91,-192.6,18,0,0.3297,22.37,0.63372,0,0,2,5,0,1,2,4,4,0,attack_slot_0,Escort2,130.758789,13.374136,34.021523
92,-307.7,33,0,0.3261,33.47,0.63056,3,4,3,2,1,2,3,4,11,0,radar_off,Escort2,168.597717,12.661135,36.265129
93,-215.8,20,0,0.3226,24.27,0.6274,3,0,2,0,1,1,2,5,5,1,radar_on,Escort1,74.040001,13.356479,36.976807
94,-223.3,22,0,0.3191,22.34,0.62427,1,1,2,4,1,1,1,4,5,2,radar_off,Escort2,222.625137,14.258459,39.970333
95,-510.06,138,1,0.3263,128.05,0.62114,11,6,11,19,9,9,8,35,20,10,radar_on,LandStrike 1,221.262146,13.851023,40.520748
96,-473.7,87,0,0.3229,68.91,0.61804,2,9,9,18,4,5,7,12,15,6,attack_slot_0,Escort1,171.471802,14.132607,36.255394
97,-220.6,17,0,0.3196,20.31,0.61495,2,0,2,1,1,0,2,4,4,1,radar_on,Escort1,232.689026,14.25645,35.981361
98,-490.6,80,0,0.3163,68.86,0.61187,2,5,8,19,4,5,8,13,11,5,attack_slot_0,Escort1,179.934906,14.844955,37.544456
99,-475.4,75,0,0.3131,68.83,0.60881,3,3,6,7,7,5,4,18,18,4,radar_on,Escort1,211.127365,14.474961,35.887108
100,-231.8,21,0,0.31,24.25,0.60577,3,1,2,6,0,3,1,1,3,1,attack_slot_0,Escort2,158.06369,14.854189,35.690136
101,-370.16,95,1,0.3168,92.65,0.60274,9,4,5,27,10,5,7,12,12,4,attack_slot_0,LandStrike 1,188.505798,15.094992,35.516281
102,-197.8,23,0,0.3137,29.24,0.59973,1,1,0,2,1,1,1,5,7,4,radar_off,Escort1,133.7173,15.213223,34.987686
103,-550.2,75,0,0.3107,64.81,0.59673,5,7,7,9,8,5,5,14,12,3,radar_on,Escort1,176.639511,15.135599,41.791031
